条形码,登录号,读者条码,外借时间,应归还时间,主键码,虚拟库室,续借次数,处理时间,流通库室键码,签到键码,附件,备注
10102529,10102529,1.21413E+11,2015/6/16 9:16,2015/9/16 23:59,227352,7,2,,0,0,,
11475646,11475646,1.31419E+11,2015/6/16 9:53,2015/7/16 23:59,388471,7,0,,0,0,,
11400827,11400827,1.31403E+11,2015/6/6 17:01,2015/7/6 23:59,332322,8,0,,0,0,,
10674083,10674083,1.31402E+11,2015/5/4 9:50,2015/8/3 23:59,367772,8,2,,0,0,,
10119077,10119077,9903226,2015/3/31 17:30,2015/4/30 23:59,230046,8,0,,0,0,,
10360242,10360242,1.41404E+11,2015/6/6 17:05,2015/7/6 23:59,313999,8,0,,0,0,,
10949178,10949178,9903840,2015/5/15 8:50,2015/6/15 23:59,675918,8,0,,0,0,,
11121829,11121829,1.41404E+11,2015/6/6 17:34,2015/7/6 23:59,436084,8,0,,0,0,,
10844211,10844211,1.21404E+11,2015/6/6 17:42,2015/7/6 23:59,618384,8,0,,0,0,,
10806826,10806826,1.31407E+11,2015/5/15 11:19,2015/6/15 23:59,309271,8,0,,0,0,,
10767360,10767360,1.41406E+11,2015/6/5 11:23,2015/7/15 23:59,632318,27,1,,0,0,,
10913644,10913644,1.41419E+11,2015/5/30 17:06,2015/6/29 23:59,626612,27,0,,0,0,,
10693644,10693644,1.41419E+11,2015/5/30 17:06,2015/6/29 23:59,632501,27,0,,0,0,,
11041126,11041126,9903226,2015/3/31 17:30,2015/4/30 23:59,362487,8,0,,0,0,,
10217938,10217938,9903226,2015/3/31 17:30,2015/4/30 23:59,93123,8,0,,0,0,,
11050562,11050562,9.7E+11,2015/5/15 14:56,2015/7/16 23:59,428005,27,1,,0,0,,
10926044,10926044,1.31408E+11,2015/6/7 8:31,2015/8/6 23:59,620999,27,1,,0,0,,
11127320,11127320,9.7E+11,2015/5/15 14:56,2015/7/16 23:59,437300,27,1,,0,0,,
11465241,11465241,1.21404E+11,2015/3/23 15:51,2015/6/25 23:59,375068,8,2,,0,0,,
10931212,10931212,9901658,2015/5/30 17:33,2015/6/29 23:59,626571,27,0,,0,0,,
10326725,10326725,1.31409E+11,2015/5/4 16:12,2015/8/3 23:59,298636,8,2,,0,0,,
10697776,10697776,1.41425E+11,2015/6/24 16:07,2015/7/24 23:59,626265,27,1,,0,0,,
10758012,10758012,9901658,2015/5/30 17:34,2015/6/29 23:59,632045,27,0,,0,0,,
11496865,11496865,1.2141E+11,2015/5/15 16:19,2015/7/15 23:59,420424,27,1,,0,0,,
10690474,10690474,1.21414E+11,2015/5/9 10:43,2015/6/8 23:59,619574,8,0,,0,0,,
11083539,11083539,9905072,2015/5/19 9:57,2015/6/18 23:59,636543,8,0,,0,0,,
10725301,10725301,9902330,2015/6/18 9:34,2015/7/20 23:59,662903,8,0,,0,0,,
2147658,N014220,1.41518E+11,2015/4/11 11:26,2015/6/22 23:59,198364,8,2,,0,0,,
10737834,10737834,1.41403E+11,2015/6/8 16:30,2015/7/8 23:59,673818,8,0,,0,0,,
10938817,10938817,1.41403E+11,2015/6/8 16:30,2015/7/8 23:59,671522,8,0,,0,0,,
10974609,10974609,9902330,2015/6/18 9:34,2015/7/20 23:59,684908,8,0,,0,0,,
10357430,10357430,1.21406E+11,2015/6/8 16:42,2015/7/8 23:59,312937,8,0,,0,0,,
11007658,11007658,1.21406E+11,2015/6/8 16:42,2015/7/8 23:59,339555,8,0,,0,0,,
10742092,10742092,1.21414E+11,2015/6/19 11:22,2015/7/20 23:59,671349,7,0,,0,0,,
11083481,11083481,1.21408E+11,2015/6/4 21:19,2015/7/6 23:59,634123,8,0,,0,0,,
11210863,11210863,1.31425E+11,2015/6/7 14:57,2015/7/8 23:59,368391,8,1,,0,0,,
10958378,10958378,9902692,2015/5/27 9:19,2015/8/26 23:59,656149,8,2,,0,0,,
11119610,11119610,9902692,2015/5/27 9:19,2015/8/26 23:59,434605,8,2,,0,0,,
10736110,10736110,1.31401E+11,2014/11/8 11:21,2015/3/23 23:59,670478,8,2,,0,0,,
10479401,10479401,1.31425E+11,2015/6/7 14:57,2015/7/8 23:59,637449,8,1,,0,0,,
10970146,10970146,1.21518E+11,2015/4/11 10:22,2015/5/11 23:59,665018,7,0,,0,0,,
10604751,10604751,1.21408E+11,2015/5/18 15:35,2015/7/20 23:59,285204,8,2,,0,0,,
10934450,10934450,1.21518E+11,2015/4/11 10:22,2015/5/11 23:59,647295,7,0,,0,0,,
